"bssid","avg"
"00:0c:e6:00:0a:00","-68.6"
"00:0c:e6:00:0a:40","-80.4"
"00:0c:e6:00:0b:00","-67.6"
"00:0c:e6:00:0b:40","-74.2"
"00:0c:e6:00:0c:00","-65"
"00:0c:e6:00:0c:40","-75.5"
"00:0c:e6:00:0e:00","-69.7"
"00:0c:e6:00:0e:40","-84"
"00:0c:e6:00:0f:00","-51.7"
"00:0c:e6:00:0f:40","-71.8"
"00:0c:e6:00:12:00","-64.5"
"00:0c:e6:00:12:40","-77.7"
"00:0c:e6:00:13:00","-70.4"
"00:0c:e6:00:13:40","-81.7"
"00:0c:e6:00:15:00","-70.1"
"00:0c:e6:00:15:40","-84.9"
"00:0c:e6:00:1b:00","-50.7"
"00:0c:e6:00:1b:40","-54.9"
"00:0c:e6:00:1c:00","-71"
"00:0c:e6:00:1c:40","-85"
"00:0c:e6:00:1d:00","-63.2"
"00:0c:e6:00:1d:40","-69.4"
"00:0c:e6:00:20:00","-68.8"
"00:0c:e6:00:20:40","-79.1"
"00:0c:e6:00:25:00","-54.5"
"00:0c:e6:00:25:40","-70.9"
"00:0c:e6:00:26:00","-66.3"
"00:0c:e6:00:26:40","-81.8"
"00:0c:e6:00:27:00","-57.9"
"00:0c:e6:00:27:40","-71.5"
"00:0c:e6:00:36:00","-67"
"00:0c:e6:00:36:40","-83.9"
"00:0c:e6:00:37:00","-66.6"
"00:0c:e6:00:37:40","-85.1"
"00:0c:e6:00:38:00","-65.8"
"00:0c:e6:00:38:40","-77.3"
"00:0c:e6:00:39:00","-70.9"
"00:0c:e6:00:39:40","-79.8"
"00:0c:e6:00:3a:40","-83.1"
"00:0c:e6:00:43:00","-65"
"00:0c:e6:00:43:40","-81.6"
