"bssid","avg"
"00:0c:e6:00:0a:00","-66.6"
"00:0c:e6:00:0a:40","-79.4"
"00:0c:e6:00:0b:00","-67.4"
"00:0c:e6:00:0b:40","-74"
"00:0c:e6:00:0c:00","-66.6"
"00:0c:e6:00:0c:40","-76.2"
"00:0c:e6:00:0e:00","-70.7"
"00:0c:e6:00:0e:40","-86.3"
"00:0c:e6:00:0f:00","-64.5"
"00:0c:e6:00:0f:40","-80.3"
"00:0c:e6:00:12:00","-63.6"
"00:0c:e6:00:12:40","-79.6"
"00:0c:e6:00:13:00","-72"
"00:0c:e6:00:13:40","-83.5"
"00:0c:e6:00:15:00","-72.6"
"00:0c:e6:00:15:40","-84"
"00:0c:e6:00:1b:00","-55.4"
"00:0c:e6:00:1b:40","-66.2"
"00:0c:e6:00:1c:00","-74"
"00:0c:e6:00:1d:00","-66.4"
"00:0c:e6:00:1d:40","-71.5"
"00:0c:e6:00:20:00","-71.8"
"00:0c:e6:00:20:40","-81.7"
"00:0c:e6:00:25:00","-51.5"
"00:0c:e6:00:25:40","-63.4"
"00:0c:e6:00:26:00","-60.3"
"00:0c:e6:00:26:40","-78"
"00:0c:e6:00:27:00","-66.9"
"00:0c:e6:00:27:40","-84"
"00:0c:e6:00:35:00","-79"
"00:0c:e6:00:35:40","-86"
"00:0c:e6:00:36:00","-69.3"
"00:0c:e6:00:36:40","-80.8"
"00:0c:e6:00:37:00","-61.8"
"00:0c:e6:00:37:40","-83.4"
"00:0c:e6:00:38:00","-66.9"
"00:0c:e6:00:38:40","-79.7"
"00:0c:e6:00:39:00","-69.4"
"00:0c:e6:00:39:40","-83.3"
"00:0c:e6:00:3a:40","-85.4"
"00:0c:e6:00:43:00","-63.4"
"00:0c:e6:00:43:40","-78.7"
