"bssid","avg"
"00:0c:e6:00:0a:00","-66.7"
"00:0c:e6:00:0a:40","-81.7"
"00:0c:e6:00:0b:00","-63.4"
"00:0c:e6:00:0b:40","-77.2"
"00:0c:e6:00:0c:00","-65.7"
"00:0c:e6:00:0c:40","-72.9"
"00:0c:e6:00:0e:00","-66.7"
"00:0c:e6:00:0e:40","-81.7"
"00:0c:e6:00:0f:00","-74.1"
"00:0c:e6:00:10:00","-72.5"
"00:0c:e6:00:12:00","-62.9"
"00:0c:e6:00:12:40","-81"
"00:0c:e6:00:13:00","-78"
"00:0c:e6:00:13:40","-82.8"
"00:0c:e6:00:15:00","-68.6"
"00:0c:e6:00:15:40","-83.9"
"00:0c:e6:00:1b:00","-58.5"
"00:0c:e6:00:1b:40","-76.5"
"00:0c:e6:00:1c:00","-59.2"
"00:0c:e6:00:1c:40","-75"
"00:0c:e6:00:1d:00","-61"
"00:0c:e6:00:1d:40","-76"
"00:0c:e6:00:20:00","-66.1"
"00:0c:e6:00:20:40","-77.4"
"00:0c:e6:00:25:00","-69"
"00:0c:e6:00:25:40","-74.8"
"00:0c:e6:00:26:00","-69.1"
"00:0c:e6:00:26:40","-87.7"
"00:0c:e6:00:27:00","-72.2"
"00:0c:e6:00:2a:00","-73"
"00:0c:e6:00:36:00","-70.8"
"00:0c:e6:00:36:40","-89.1"
"00:0c:e6:00:37:00","-69.3"
"00:0c:e6:00:37:40","-88.1"
"00:0c:e6:00:38:00","-67.6"
"00:0c:e6:00:38:40","-80.7"
"00:0c:e6:00:39:00","-64.7"
"00:0c:e6:00:39:40","-76.8"
"00:0c:e6:00:3a:00","-74.5"
"00:0c:e6:00:3a:40","-80.3"
"00:0c:e6:00:43:00","-72"
"00:0c:e6:00:43:40","-87.9"
