"bssid","avg"
"00:0c:e6:00:0a:00","-71.6"
"00:0c:e6:00:0a:40","-83.6"
"00:0c:e6:00:0b:00","-74.2"
"00:0c:e6:00:0b:40","-84.8"
"00:0c:e6:00:0c:00","-76.9"
"00:0c:e6:00:0c:40","-86.5"
"00:0c:e6:00:0e:00","-81"
"00:0c:e6:00:12:00","-74.8"
"00:0c:e6:00:13:00","-82"
"00:0c:e6:00:16:00","-69"
"00:0c:e6:00:17:00","-76.9"
"00:0c:e6:00:18:00","-81"
"00:0c:e6:00:1b:00","-67.1"
"00:0c:e6:00:1b:40","-80.3"
"00:0c:e6:00:1d:00","-75"
"00:0c:e6:00:1d:40","-84"
"00:0c:e6:00:20:00","-79"
"00:0c:e6:00:20:40","-85.7"
"00:0c:e6:00:24:00","-70.2"
"00:0c:e6:00:24:40","-85.4"
"00:0c:e6:00:25:00","-60.3"
"00:0c:e6:00:25:40","-77.5"
"00:0c:e6:00:26:00","-74.5"
"00:0c:e6:00:26:40","-86"
"00:0c:e6:00:27:00","-72.7"
"00:0c:e6:00:2d:00","-65"
"00:0c:e6:00:2d:40","-77"
"00:0c:e6:00:35:00","-70"
"00:0c:e6:00:35:40","-82.6"
"00:0c:e6:00:36:00","-75.5"
"00:0c:e6:00:37:00","-73.5"
"00:0c:e6:00:37:40","-84.8"
"00:0c:e6:00:38:00","-66.7"
"00:0c:e6:00:38:40","-83.7"
"00:0c:e6:00:39:00","-75.9"
"00:0c:e6:00:39:40","-86"
"00:0c:e6:00:43:00","-71.4"
"00:0c:e6:00:43:40","-85.1"
