"bssid","avg"
"00:0c:e6:00:0a:00","-61"
"00:0c:e6:00:0c:00","-75.1"
"00:0c:e6:00:0c:40","-68"
"00:0c:e6:00:0e:00","-71.2"
"00:0c:e6:00:12:00","-77"
"00:0c:e6:00:12:40","-79"
"00:0c:e6:00:13:00","-60"
"00:0c:e6:00:15:00","-79.6"
"00:0c:e6:00:1d:40","-81"
"00:0c:e6:00:20:00","-76"
"00:0c:e6:00:20:40","-75"
"00:0c:e6:00:25:40","-87"
"00:0c:e6:00:28:00","-70.2"
"00:0c:e6:00:29:00","-69.9"
"00:0c:e6:00:29:40","-87.8"
"00:0c:e6:00:2c:00","-68.1"
"00:0c:e6:00:2d:00","-68.9"
"00:0c:e6:00:2d:40","-83.5"
"00:0c:e6:00:2e:00","-45.4"
"00:0c:e6:00:2e:40","-52.6"
"00:0c:e6:00:38:00","-78"
"00:0c:e6:00:39:00","-64.7"
"00:0c:e6:00:39:40","-78"
"00:0c:e6:00:3a:00","-72.9"
"00:0c:e6:00:3a:40","-84"
