"bssid","avg"
"00:0c:e6:00:09:00","-71.8"
"00:0c:e6:00:09:40","-88"
"00:0c:e6:00:0a:00","-69"
"00:0c:e6:00:0a:40","-84.1"
"00:0c:e6:00:0b:00","-64.8"
"00:0c:e6:00:0b:40","-79.5"
"00:0c:e6:00:0c:00","-59.8"
"00:0c:e6:00:0c:40","-75.3"
"00:0c:e6:00:0e:00","-66.3"
"00:0c:e6:00:0e:40","-84.3"
"00:0c:e6:00:12:00","-62.9"
"00:0c:e6:00:12:40","-80.9"
"00:0c:e6:00:13:00","-65.4"
"00:0c:e6:00:13:40","-75.6"
"00:0c:e6:00:15:00","-58.4"
"00:0c:e6:00:15:40","-75"
"00:0c:e6:00:1b:00","-64.9"
"00:0c:e6:00:1b:40","-85.7"
"00:0c:e6:00:1d:00","-58.6"
"00:0c:e6:00:1d:40","-76.7"
"00:0c:e6:00:20:00","-61.4"
"00:0c:e6:00:20:40","-75.3"
"00:0c:e6:00:25:00","-76.7"
"00:0c:e6:00:25:40","-83"
"00:0c:e6:00:26:00","-72.6"
"00:0c:e6:00:37:00","-66.2"
"00:0c:e6:00:37:40","-89.6"
"00:0c:e6:00:38:00","-77"
"00:0c:e6:00:38:40","-86.5"
"00:0c:e6:00:39:00","-74.8"
"00:0c:e6:00:39:40","-86.4"
"00:0c:e6:00:3a:00","-76.8"
"00:0c:e6:00:3a:40","-84.4"
