"bssid","avg"
"00:0c:e6:00:0a:40","-88.8"
"00:0c:e6:00:0b:40","-84.6"
"00:0c:e6:00:0c:00","-69"
"00:0c:e6:00:0c:40","-83.9"
"00:0c:e6:00:0e:40","-87.1"
"00:0c:e6:00:12:00","-68.8"
"00:0c:e6:00:12:40","-86.5"
"00:0c:e6:00:13:40","-90.2"
"00:0c:e6:00:17:00","-60"
"00:0c:e6:00:17:40","-77.3"
"00:0c:e6:00:18:40","-73"
"00:0c:e6:00:1b:00","-60.5"
"00:0c:e6:00:1b:40","-78.8"
"00:0c:e6:00:1d:00","-69"
"00:0c:e6:00:1d:40","-83.7"
"00:0c:e6:00:20:40","-85.9"
"00:0c:e6:00:25:00","-67.9"
"00:0c:e6:00:25:40","-83.6"
"00:0c:e6:00:26:40","-89"
"00:0c:e6:00:27:00","-74"
"00:0c:e6:00:29:00","-66"
"00:0c:e6:00:37:40","-88.4"
"00:0c:e6:00:38:00","-62.8"
"00:0c:e6:00:38:40","-76.5"
"00:0c:e6:00:39:00","-59.2"
"00:0c:e6:00:39:40","-70.4"
"00:0c:e6:00:3a:40","-84.7"
"00:0c:e6:00:43:40","-89"
