"bssid","avg"
"00:0c:e6:00:0a:00","-68.3"
"00:0c:e6:00:0a:40","-80.5"
"00:0c:e6:00:0b:00","-69.4"
"00:0c:e6:00:0b:40","-79.9"
"00:0c:e6:00:0c:00","-71.2"
"00:0c:e6:00:0c:40","-79.8"
"00:0c:e6:00:0e:00","-74.2"
"00:0c:e6:00:0e:40","-85.6"
"00:0c:e6:00:0f:00","-67.8"
"00:0c:e6:00:12:00","-67.5"
"00:0c:e6:00:12:40","-81.6"
"00:0c:e6:00:13:00","-75"
"00:0c:e6:00:13:40","-83"
"00:0c:e6:00:15:00","-75.2"
"00:0c:e6:00:15:40","-85.9"
"00:0c:e6:00:1b:00","-57"
"00:0c:e6:00:1b:40","-70"
"00:0c:e6:00:1d:00","-68.6"
"00:0c:e6:00:1d:40","-78"
"00:0c:e6:00:20:00","-71.1"
"00:0c:e6:00:20:40","-84.7"
"00:0c:e6:00:24:00","-83"
"00:0c:e6:00:25:00","-57.5"
"00:0c:e6:00:25:40","-68.1"
"00:0c:e6:00:26:00","-68.4"
"00:0c:e6:00:26:40","-83.2"
"00:0c:e6:00:27:00","-69.7"
"00:0c:e6:00:2d:00","-68.9"
"00:0c:e6:00:35:00","-76"
"00:0c:e6:00:35:40","-85"
"00:0c:e6:00:36:00","-65.1"
"00:0c:e6:00:36:40","-81.9"
"00:0c:e6:00:37:00","-69.3"
"00:0c:e6:00:37:40","-83.7"
"00:0c:e6:00:38:00","-71.1"
"00:0c:e6:00:38:40","-82.8"
"00:0c:e6:00:39:00","-72.6"
"00:0c:e6:00:39:40","-85.3"
"00:0c:e6:00:3a:00","-76"
"00:0c:e6:00:3a:40","-85.5"
"00:0c:e6:00:43:00","-66"
"00:0c:e6:00:43:40","-79.1"
