"bssid","avg"
"00:0c:e6:00:0a:00","-62.5"
"00:0c:e6:00:0a:40","-79.6"
"00:0c:e6:00:0b:00","-63.9"
"00:0c:e6:00:0b:40","-73.7"
"00:0c:e6:00:0c:00","-67.6"
"00:0c:e6:00:0c:40","-78.4"
"00:0c:e6:00:0e:00","-69.4"
"00:0c:e6:00:0e:40","-84.6"
"00:0c:e6:00:0f:00","-47.9"
"00:0c:e6:00:0f:40","-69.7"
"00:0c:e6:00:10:00","-80"
"00:0c:e6:00:12:00","-62.6"
"00:0c:e6:00:12:40","-79.7"
"00:0c:e6:00:13:40","-83.2"
"00:0c:e6:00:15:00","-71.8"
"00:0c:e6:00:15:40","-83.4"
"00:0c:e6:00:1b:00","-53.7"
"00:0c:e6:00:1b:40","-57.9"
"00:0c:e6:00:1c:00","-75"
"00:0c:e6:00:1c:40","-86"
"00:0c:e6:00:1d:00","-65.5"
"00:0c:e6:00:1d:40","-74.4"
"00:0c:e6:00:20:00","-71.7"
"00:0c:e6:00:20:40","-82.1"
"00:0c:e6:00:25:00","-56.8"
"00:0c:e6:00:25:40","-66.4"
"00:0c:e6:00:26:00","-66"
"00:0c:e6:00:26:40","-81"
"00:0c:e6:00:27:00","-59"
"00:0c:e6:00:27:40","-76"
"00:0c:e6:00:36:00","-70.3"
"00:0c:e6:00:36:40","-79.9"
"00:0c:e6:00:37:00","-63.2"
"00:0c:e6:00:37:40","-76.4"
"00:0c:e6:00:38:00","-66.8"
"00:0c:e6:00:38:40","-80.9"
"00:0c:e6:00:39:00","-67.4"
"00:0c:e6:00:39:40","-79.4"
"00:0c:e6:00:3a:40","-85.2"
"00:0c:e6:00:43:00","-66.6"
"00:0c:e6:00:43:40","-78"
