"bssid","avg"
"00:0c:e6:00:0a:00","-65.2"
"00:0c:e6:00:0a:40","-80.8"
"00:0c:e6:00:0b:00","-61.7"
"00:0c:e6:00:0b:40","-73.5"
"00:0c:e6:00:0c:00","-66.3"
"00:0c:e6:00:0c:40","-77"
"00:0c:e6:00:0e:00","-71.6"
"00:0c:e6:00:0e:40","-81.7"
"00:0c:e6:00:0f:00","-56.6"
"00:0c:e6:00:0f:40","-79.1"
"00:0c:e6:00:12:00","-64.7"
"00:0c:e6:00:12:40","-81"
"00:0c:e6:00:13:00","-71.9"
"00:0c:e6:00:13:40","-78.5"
"00:0c:e6:00:15:00","-71.8"
"00:0c:e6:00:15:40","-80.4"
"00:0c:e6:00:1b:00","-45.5"
"00:0c:e6:00:1b:40","-54.6"
"00:0c:e6:00:1c:00","-70.7"
"00:0c:e6:00:1c:40","-87"
"00:0c:e6:00:1d:00","-66.3"
"00:0c:e6:00:1d:40","-69.9"
"00:0c:e6:00:20:00","-68.7"
"00:0c:e6:00:20:40","-77.6"
"00:0c:e6:00:25:00","-60.1"
"00:0c:e6:00:25:40","-66.2"
"00:0c:e6:00:26:00","-67.1"
"00:0c:e6:00:26:40","-82.8"
"00:0c:e6:00:27:00","-58.6"
"00:0c:e6:00:27:40","-71"
"00:0c:e6:00:36:00","-69.9"
"00:0c:e6:00:36:40","-78.9"
"00:0c:e6:00:37:00","-64.5"
"00:0c:e6:00:37:40","-82.1"
"00:0c:e6:00:38:00","-64.5"
"00:0c:e6:00:38:40","-76.7"
"00:0c:e6:00:39:00","-64.5"
"00:0c:e6:00:39:40","-78"
"00:0c:e6:00:3a:40","-84.8"
"00:0c:e6:00:43:00","-68.9"
"00:0c:e6:00:43:40","-78.5"
