"bssid","avg"
"00:0c:e6:00:0a:00","-74.7"
"00:0c:e6:00:0a:40","-84.5"
"00:0c:e6:00:0b:00","-76.6"
"00:0c:e6:00:0b:40","-85.7"
"00:0c:e6:00:0c:00","-79"
"00:0c:e6:00:0c:40","-86.1"
"00:0c:e6:00:0e:00","-84"
"00:0c:e6:00:12:00","-77.5"
"00:0c:e6:00:13:00","-81"
"00:0c:e6:00:16:00","-59.3"
"00:0c:e6:00:16:40","-73.1"
"00:0c:e6:00:17:00","-71.1"
"00:0c:e6:00:17:40","-73.9"
"00:0c:e6:00:18:00","-68"
"00:0c:e6:00:18:40","-80.5"
"00:0c:e6:00:1b:00","-70.7"
"00:0c:e6:00:1b:40","-79.8"
"00:0c:e6:00:1d:00","-77.8"
"00:0c:e6:00:1d:40","-88.2"
"00:0c:e6:00:1e:00","-79"
"00:0c:e6:00:24:00","-73.3"
"00:0c:e6:00:24:40","-82.9"
"00:0c:e6:00:25:00","-60.6"
"00:0c:e6:00:25:40","-82.1"
"00:0c:e6:00:26:00","-74.4"
"00:0c:e6:00:27:00","-73.7"
"00:0c:e6:00:2d:00","-64.5"
"00:0c:e6:00:2d:40","-83.2"
"00:0c:e6:00:35:00","-63.6"
"00:0c:e6:00:35:40","-79.9"
"00:0c:e6:00:36:00","-75.8"
"00:0c:e6:00:37:00","-72.9"
"00:0c:e6:00:37:40","-86"
"00:0c:e6:00:38:00","-70.4"
"00:0c:e6:00:38:40","-85.4"
"00:0c:e6:00:39:00","-76.1"
"00:0c:e6:00:39:40","-88"
"00:0c:e6:00:3b:00","-85"
"00:0c:e6:00:43:00","-76.8"
