"bssid","avg"
"00:0c:e6:00:0a:00","-68.9"
"00:0c:e6:00:0a:40","-83.1"
"00:0c:e6:00:0b:00","-61.5"
"00:0c:e6:00:0b:40","-79.9"
"00:0c:e6:00:0c:00","-61.4"
"00:0c:e6:00:0c:40","-79.4"
"00:0c:e6:00:0d:00","-75.3"
"00:0c:e6:00:0e:00","-60.6"
"00:0c:e6:00:0e:40","-76.8"
"00:0c:e6:00:10:00","-65"
"00:0c:e6:00:12:00","-62.6"
"00:0c:e6:00:12:40","-80"
"00:0c:e6:00:13:00","-61.1"
"00:0c:e6:00:13:40","-75.3"
"00:0c:e6:00:15:00","-48.7"
"00:0c:e6:00:15:40","-64.3"
"00:0c:e6:00:1b:00","-70.1"
"00:0c:e6:00:1b:40","-86.2"
"00:0c:e6:00:1d:00","-65"
"00:0c:e6:00:1d:40","-76.8"
"00:0c:e6:00:20:00","-54.7"
"00:0c:e6:00:20:40","-68.9"
"00:0c:e6:00:25:00","-72.3"
"00:0c:e6:00:25:40","-86.4"
"00:0c:e6:00:26:00","-73.7"
"00:0c:e6:00:26:40","-89.5"
"00:0c:e6:00:2a:00","-58"
"00:0c:e6:00:36:00","-77.3"
"00:0c:e6:00:36:40","-87"
"00:0c:e6:00:37:00","-71.2"
"00:0c:e6:00:37:40","-90"
"00:0c:e6:00:38:00","-65"
"00:0c:e6:00:38:40","-90.2"
"00:0c:e6:00:39:00","-75.2"
"00:0c:e6:00:39:40","-86.6"
"00:0c:e6:00:3a:00","-71.3"
"00:0c:e6:00:3a:40","-84"
