"bssid","avg"
"00:0c:e6:00:0a:00","-68"
"00:0c:e6:00:0a:40","-83.4"
"00:0c:e6:00:0b:00","-72.9"
"00:0c:e6:00:0b:40","-85.8"
"00:0c:e6:00:0c:00","-72"
"00:0c:e6:00:0c:40","-86"
"00:0c:e6:00:0e:00","-82"
"00:0c:e6:00:12:00","-74.5"
"00:0c:e6:00:12:40","-86.1"
"00:0c:e6:00:13:00","-75.8"
"00:0c:e6:00:13:40","-85"
"00:0c:e6:00:15:00","-78"
"00:0c:e6:00:18:00","-78"
"00:0c:e6:00:1b:00","-61.4"
"00:0c:e6:00:1b:40","-77.1"
"00:0c:e6:00:1d:00","-73.7"
"00:0c:e6:00:1d:40","-81.3"
"00:0c:e6:00:20:00","-72"
"00:0c:e6:00:24:00","-65.4"
"00:0c:e6:00:24:40","-84.5"
"00:0c:e6:00:25:00","-57.8"
"00:0c:e6:00:25:40","-76.5"
"00:0c:e6:00:26:00","-70.5"
"00:0c:e6:00:26:40","-85"
"00:0c:e6:00:27:00","-71"
"00:0c:e6:00:27:40","-87"
"00:0c:e6:00:2d:00","-64.6"
"00:0c:e6:00:2d:40","-79.5"
"00:0c:e6:00:35:00","-69.3"
"00:0c:e6:00:35:40","-82.4"
"00:0c:e6:00:36:00","-73.3"
"00:0c:e6:00:36:40","-86.8"
"00:0c:e6:00:37:00","-71.5"
"00:0c:e6:00:37:40","-87.2"
"00:0c:e6:00:38:00","-66.8"
"00:0c:e6:00:38:40","-83.2"
"00:0c:e6:00:39:00","-75.9"
"00:0c:e6:00:43:00","-71.5"
"00:0c:e6:00:43:40","-84"
