"bssid","avg"
"00:0c:e6:00:0a:00","-58.7"
"00:0c:e6:00:0a:40","-71.7"
"00:0c:e6:00:0b:00","-60.7"
"00:0c:e6:00:0b:40","-72.9"
"00:0c:e6:00:0c:00","-60.9"
"00:0c:e6:00:0c:40","-78"
"00:0c:e6:00:0e:00","-64"
"00:0c:e6:00:0e:40","-83.4"
"00:0c:e6:00:0f:00","-71"
"00:0c:e6:00:12:00","-59.2"
"00:0c:e6:00:12:40","-77.7"
"00:0c:e6:00:13:00","-64.8"
"00:0c:e6:00:13:40","-77.1"
"00:0c:e6:00:15:00","-64.1"
"00:0c:e6:00:15:40","-79.6"
"00:0c:e6:00:16:00","-74"
"00:0c:e6:00:1b:00","-49.8"
"00:0c:e6:00:1b:40","-60.3"
"00:0c:e6:00:1c:00","-72"
"00:0c:e6:00:1d:00","-62.6"
"00:0c:e6:00:1d:40","-71.9"
"00:0c:e6:00:20:00","-62.3"
"00:0c:e6:00:20:40","-77"
"00:0c:e6:00:24:00","-75"
"00:0c:e6:00:25:00","-47.9"
"00:0c:e6:00:25:40","-60.8"
"00:0c:e6:00:26:00","-55.4"
"00:0c:e6:00:26:40","-74.6"
"00:0c:e6:00:27:00","-67.9"
"00:0c:e6:00:27:40","-88.1"
"00:0c:e6:00:2d:00","-64"
"00:0c:e6:00:2d:40","-86.8"
"00:0c:e6:00:35:00","-72.9"
"00:0c:e6:00:35:40","-85.8"
"00:0c:e6:00:36:00","-62.5"
"00:0c:e6:00:36:40","-77.1"
"00:0c:e6:00:37:00","-61.8"
"00:0c:e6:00:37:40","-73.4"
"00:0c:e6:00:38:00","-65.4"
"00:0c:e6:00:38:40","-72.8"
"00:0c:e6:00:39:00","-66.9"
"00:0c:e6:00:39:40","-81.9"
"00:0c:e6:00:3a:00","-69"
"00:0c:e6:00:3a:40","-83.2"
"00:0c:e6:00:43:00","-60.8"
"00:0c:e6:00:43:40","-76.8"
