"bssid","avg"
"00:0c:e6:00:0a:00","-75"
"00:0c:e6:00:0a:40","-75"
"00:0c:e6:00:0b:00","-64"
"00:0c:e6:00:0b:40","-76"
"00:0c:e6:00:0c:40","-75"
"00:0c:e6:00:12:00","-75.9"
"00:0c:e6:00:12:40","-74"
"00:0c:e6:00:13:00","-70"
"00:0c:e6:00:13:40","-80"
"00:0c:e6:00:15:40","-80"
"00:0c:e6:00:16:00","-75.2"
"00:0c:e6:00:1b:00","-70"
"00:0c:e6:00:1b:40","-83.4"
"00:0c:e6:00:1d:00","-75.3"
"00:0c:e6:00:1d:40","-71"
"00:0c:e6:00:20:00","-84"
"00:0c:e6:00:20:40","-79"
"00:0c:e6:00:24:00","-74.8"
"00:0c:e6:00:25:00","-67"
"00:0c:e6:00:25:40","-79.9"
"00:0c:e6:00:26:00","-75"
"00:0c:e6:00:26:40","-79"
"00:0c:e6:00:27:00","-75.6"
"00:0c:e6:00:2d:00","-64.3"
"00:0c:e6:00:2d:40","-79.5"
"00:0c:e6:00:30:00","-79"
"00:0c:e6:00:35:00","-66.2"
"00:0c:e6:00:35:40","-81"
"00:0c:e6:00:36:00","-71.8"
"00:0c:e6:00:36:40","-81"
"00:0c:e6:00:37:00","-72.7"
"00:0c:e6:00:37:40","-77"
"00:0c:e6:00:38:00","-69.3"
"00:0c:e6:00:38:40","-84.8"
"00:0c:e6:00:39:00","-78.3"
"00:0c:e6:00:39:40","-79"
"00:0c:e6:00:3a:40","-82"
"00:0c:e6:00:3b:00","-83"
"00:0c:e6:00:43:00","-75.4"
"00:0c:e6:00:43:40","-79"
