"bssid","avg"
"00:0c:e6:00:0a:00","-65.4"
"00:0c:e6:00:0a:40","-78.9"
"00:0c:e6:00:0b:00","-62.4"
"00:0c:e6:00:0b:40","-72.4"
"00:0c:e6:00:0c:00","-57.9"
"00:0c:e6:00:0c:40","-71"
"00:0c:e6:00:0e:00","-63.1"
"00:0c:e6:00:0e:40","-75.4"
"00:0c:e6:00:10:00","-66.1"
"00:0c:e6:00:10:40","-87"
"00:0c:e6:00:12:00","-66.6"
"00:0c:e6:00:12:40","-80.2"
"00:0c:e6:00:13:00","-62.7"
"00:0c:e6:00:13:40","-70.9"
"00:0c:e6:00:15:00","-66.5"
"00:0c:e6:00:15:40","-76"
"00:0c:e6:00:1b:00","-65.2"
"00:0c:e6:00:1b:40","-72.9"
"00:0c:e6:00:1c:00","-78"
"00:0c:e6:00:1d:00","-56.6"
"00:0c:e6:00:1d:40","-69.6"
"00:0c:e6:00:20:00","-63.5"
"00:0c:e6:00:20:40","-72.9"
"00:0c:e6:00:25:00","-69.8"
"00:0c:e6:00:25:40","-76.6"
"00:0c:e6:00:26:00","-68.7"
"00:0c:e6:00:26:40","-83.4"
"00:0c:e6:00:27:00","-73.2"
"00:0c:e6:00:2a:00","-66.2"
"00:0c:e6:00:2a:40","-85"
"00:0c:e6:00:2b:00","-76"
"00:0c:e6:00:36:00","-73.5"
"00:0c:e6:00:36:40","-84.3"
"00:0c:e6:00:37:00","-69.7"
"00:0c:e6:00:37:40","-85.9"
"00:0c:e6:00:38:00","-69.1"
"00:0c:e6:00:38:40","-77.6"
"00:0c:e6:00:39:00","-65"
"00:0c:e6:00:39:40","-70.8"
"00:0c:e6:00:3a:00","-67.8"
"00:0c:e6:00:3a:40","-74.9"
"00:0c:e6:00:43:40","-85.3"
